date,temperature,humidity,light,soil,air
2019/10/24 15:56:26,11.00,47.00,215.00,68,981
2019/10/24 15:56:27,11.00,47.00,216.00,68,980
2019/10/24 15:56:27,11.00,47.00,211.00,68,980
2019/10/24 15:56:28,11.00,47.00,211.00,69,980
2019/10/24 15:56:28,11.00,46.00,207.00,69,980
2019/10/24 15:56:29,11.00,46.00,223.00,69,980
2019/10/24 15:56:30,11.00,46.00,223.00,69,980
2019/10/24 15:56:30,11.00,46.00,228.00,69,980
2019/10/24 15:56:31,11.00,46.00,225.00,69,980
2019/10/24 15:56:32,11.00,46.00,219.00,69,980
2019/10/24 15:56:32,11.00,46.00,216.00,70,980
2019/10/24 15:56:33,11.00,46.00,189.00,70,980
2019/10/24 15:56:34,11.00,46.00,187.00,71,980
2019/10/24 15:56:34,11.00,46.00,186.00,71,980
2019/10/24 15:56:35,11.00,46.00,197.00,71,981
2019/10/24 15:56:36,11.00,46.00,204.00,72,980
2019/10/24 15:56:36,11.00,46.00,200.00,72,980
2019/10/24 15:56:37,11.00,46.00,200.00,72,980
2019/10/24 15:56:38,11.00,46.00,202.00,72,980
2019/10/24 15:56:38,11.00,46.00,197.00,73,980
2019/10/24 15:56:39,11.00,46.00,197.00,73,980
2019/10/24 15:56:39,11.00,46.00,197.00,73,980
2019/10/24 15:56:40,11.00,46.00,197.00,73,980
2019/10/24 15:56:41,11.00,46.00,195.00,73,980
2019/10/24 15:56:41,11.00,46.00,201.00,73,980
2019/10/24 15:56:42,11.00,46.00,201.00,74,980
2019/10/24 15:56:43,11.00,46.00,200.00,74,980
2019/10/24 15:56:43,11.00,46.00,200.00,74,980
2019/10/24 15:56:44,11.00,46.00,220.00,74,980
2019/10/24 15:56:45,11.00,46.00,210.00,74,981
2019/10/24 15:56:45,11.00,46.00,215.00,74,980
2019/10/24 15:56:46,11.00,46.00,212.00,74,980
2019/10/24 15:56:47,11.00,46.00,197.00,74,980
2019/10/24 15:56:47,11.00,46.00,202.00,74,980
2019/10/24 15:56:48,11.00,46.00,200.00,74,980
2019/10/24 15:56:49,11.00,46.00,204.00,74,980
2019/10/24 15:56:49,11.00,46.00,202.00,74,980
2019/10/24 15:56:50,11.00,46.00,206.00,74,980
2019/10/24 15:56:50,11.00,46.00,203.00,74,980
2019/10/24 15:56:51,11.00,46.00,204.00,74,980
2019/10/24 15:56:52,11.00,46.00,208.00,74,981
2019/10/24 15:56:52,11.00,46.00,204.00,74,980
2019/10/24 15:56:53,11.00,46.00,195.00,74,980
2019/10/24 15:56:54,11.00,46.00,174.00,74,980
2019/10/24 15:56:54,11.00,46.00,178.00,74,980
2019/10/24 15:56:55,11.00,46.00,186.00,74,980
2019/10/24 15:56:56,11.00,46.00,200.00,74,980
2019/10/24 15:56:56,11.00,46.00,202.00,74,981
2019/10/24 15:56:57,11.00,46.00,214.00,74,980
2019/10/24 15:56:58,11.00,46.00,218.00,74,980
2019/10/24 15:56:58,11.00,46.00,214.00,74,980
2019/10/24 15:56:59,11.00,46.00,218.00,74,980
2019/10/24 15:57:0,11.00,46.00,210.00,74,980
2019/10/24 15:57:0,11.00,46.00,204.00,74,980
2019/10/24 15:57:1,11.00,46.00,208.00,74,980
2019/10/24 15:57:2,11.00,46.00,214.00,74,980
2019/10/24 15:57:2,11.00,46.00,214.00,74,980
2019/10/24 15:57:3,11.00,46.00,214.00,74,980
2019/10/24 15:57:3,11.00,46.00,215.00,74,980
2019/10/24 15:57:4,11.00,46.00,216.00,74,980
2019/10/24 15:57:5,11.00,46.00,206.00,74,980
2019/10/24 15:57:5,11.00,46.00,207.00,73,980
2019/10/24 15:57:6,11.00,46.00,229.00,74,980
2019/10/24 15:57:7,11.00,46.00,215.00,74,981
2019/10/24 15:57:7,11.00,46.00,238.00,74,980
2019/10/24 15:57:8,11.00,46.00,239.00,74,981
2019/10/24 15:57:9,11.00,46.00,238.00,74,980
2019/10/24 15:57:9,11.00,46.00,237.00,74,980
2019/10/24 15:57:10,11.00,46.00,244.00,74,980
