date,temperature,humidity,light,soil,air
2019/10/24 15:41:31,10.00,39.00,4444.00,69,977
2019/10/24 15:41:32,10.00,39.00,4183.00,69,976
2019/10/24 15:41:33,10.00,39.00,4154.00,69,977
2019/10/24 15:41:33,10.00,39.00,4577.00,70,978
2019/10/24 15:41:34,10.00,40.00,4441.00,71,978
2019/10/24 15:41:35,10.00,40.00,4790.00,72,978
2019/10/24 15:41:35,10.00,40.00,4345.00,74,978
2019/10/24 15:41:36,10.00,40.00,4621.00,76,979
2019/10/24 15:41:37,10.00,40.00,4446.00,78,978
2019/10/24 15:41:37,10.00,40.00,1066.00,79,979
2019/10/24 15:41:38,10.00,40.00,1023.00,80,979
2019/10/24 15:41:39,10.00,40.00,1058.00,81,979
2019/10/24 15:41:39,10.00,40.00,1008.00,82,979
2019/10/24 15:41:40,10.00,40.00,966.00,82,976
2019/10/24 15:41:41,10.00,40.00,975.00,82,978
2019/10/24 15:41:41,10.00,40.00,982.00,82,978
2019/10/24 15:41:42,11.00,39.00,1066.00,82,979
2019/10/24 15:41:43,11.00,39.00,881.00,82,978
2019/10/24 15:41:43,11.00,39.00,676.00,81,974
2019/10/24 15:41:44,11.00,39.00,850.00,81,972
2019/10/24 15:41:44,11.00,39.00,997.00,81,978
2019/10/24 15:41:45,11.00,39.00,1074.00,81,979
2019/10/24 15:41:46,11.00,39.00,1112.00,81,979
2019/10/24 15:41:46,11.00,39.00,1040.00,81,980
2019/10/24 15:41:47,11.00,39.00,1037.00,81,979
2019/10/24 15:41:48,11.00,39.00,1015.00,81,980
2019/10/24 15:41:48,11.00,39.00,837.00,81,981
2019/10/24 15:41:49,11.00,39.00,1012.00,81,981
2019/10/24 15:41:50,11.00,39.00,1037.00,80,981
2019/10/24 15:41:50,11.00,39.00,1040.00,80,980
2019/10/24 15:41:51,11.00,39.00,1060.00,79,981
2019/10/24 15:41:52,11.00,39.00,1014.00,80,980
2019/10/24 15:41:52,11.00,39.00,1006.00,77,979
2019/10/24 15:41:53,11.00,39.00,1037.00,78,980
2019/10/24 15:41:54,11.00,39.00,1111.00,78,980
2019/10/24 15:41:54,11.00,39.00,1644.00,78,974
2019/10/24 15:41:55,11.00,39.00,1700.00,78,976
2019/10/24 15:41:56,11.00,39.00,1330.00,77,975
2019/10/24 15:41:56,11.00,39.00,1416.00,77,975
2019/10/24 15:41:57,11.00,39.00,1538.00,77,975
2019/10/24 15:41:57,11.00,39.00,1246.00,76,975
2019/10/24 15:41:58,11.00,39.00,1243.00,76,974
2019/10/24 15:41:59,11.00,39.00,1324.00,76,974
2019/10/24 15:41:59,11.00,39.00,1331.00,76,974
2019/10/24 15:42:0,11.00,39.00,1402.00,76,975
2019/10/24 15:42:1,11.00,39.00,1330.00,75,974
2019/10/24 15:42:1,11.00,39.00,1342.00,75,975
2019/10/24 15:42:2,11.00,39.00,1078.00,76,975
2019/10/24 15:42:3,11.00,40.00,1155.00,75,975
2019/10/24 15:42:3,11.00,40.00,1106.00,75,975
2019/10/24 15:42:4,11.00,40.00,1027.00,75,975
2019/10/24 15:42:5,11.00,40.00,1236.00,75,974
2019/10/24 15:42:5,11.00,40.00,1657.00,75,973
2019/10/24 15:42:6,11.00,40.00,1784.00,74,974
2019/10/24 15:42:7,11.00,40.00,1849.00,75,974
2019/10/24 15:42:7,11.00,40.00,1860.00,75,972
2019/10/24 15:42:8,11.00,40.00,1896.00,74,962
2019/10/24 15:42:9,11.00,40.00,1919.00,74,975
2019/10/24 15:42:9,11.00,40.00,1925.00,75,975
2019/10/24 15:42:10,11.00,40.00,1758.00,74,975
2019/10/24 15:42:10,11.00,40.00,1702.00,75,976
2019/10/24 15:42:11,11.00,40.00,1768.00,75,975
2019/10/24 15:42:12,11.00,40.00,1794.00,74,975
2019/10/24 15:42:12,11.00,40.00,1841.00,75,976
2019/10/24 15:42:13,11.00,40.00,1865.00,74,975
2019/10/24 15:42:14,11.00,40.00,1805.00,74,976
2019/10/24 15:42:14,11.00,40.00,1757.00,74,976
2019/10/24 15:42:15,11.00,40.00,1713.00,74,975
2019/10/24 15:42:16,11.00,40.00,1925.00,74,975
2019/10/24 15:42:16,11.00,40.00,1990.00,74,975
2019/10/24 15:42:17,11.00,40.00,1794.00,74,975
2019/10/24 15:42:18,11.00,40.00,1632.00,74,976
2019/10/24 15:42:18,11.00,40.00,1465.00,74,976
2019/10/24 15:42:19,11.00,40.00,1553.00,74,976
2019/10/24 15:42:20,11.00,40.00,1564.00,74,976
2019/10/24 15:42:20,11.00,40.00,1590.00,74,976
2019/10/24 15:42:21,11.00,40.00,1663.00,74,976
2019/10/24 15:42:22,11.00,40.00,1632.00,74,976
2019/10/24 15:42:22,11.00,40.00,1625.00,74,976
2019/10/24 15:42:23,11.00,40.00,1643.00,74,976
2019/10/24 15:42:24,11.00,40.00,1637.00,74,976
2019/10/24 15:42:24,11.00,40.00,1619.00,74,976
2019/10/24 15:42:25,11.00,40.00,1613.00,74,976
2019/10/24 15:42:25,11.00,40.00,1601.00,74,976
2019/10/24 15:42:26,11.00,40.00,1595.00,74,976
2019/10/24 15:42:27,11.00,40.00,1588.00,74,976
2019/10/24 15:42:27,11.00,40.00,1613.00,74,976
2019/10/24 15:42:28,11.00,40.00,1595.00,74,976
2019/10/24 15:42:29,11.00,40.00,1637.00,74,976
2019/10/24 15:42:29,11.00,40.00,1661.00,73,976
2019/10/24 15:42:30,11.00,40.00,1656.00,73,976
2019/10/24 15:42:31,11.00,40.00,1693.00,74,976
2019/10/24 15:42:31,11.00,40.00,1718.00,73,976
2019/10/24 15:42:32,11.00,40.00,1718.00,73,976
2019/10/24 15:42:33,11.00,40.00,1687.00,74,976
2019/10/24 15:42:33,11.00,40.00,1713.00,73,976
2019/10/24 15:42:34,11.00,40.00,1713.00,74,976
2019/10/24 15:42:35,11.00,40.00,1713.00,74,976
2019/10/24 15:42:35,11.00,40.00,1700.00,73,976
2019/10/24 15:42:36,11.00,40.00,1713.00,74,976
2019/10/24 15:42:37,11.00,40.00,1695.00,73,976
2019/10/24 15:42:37,11.00,40.00,1677.00,73,976
2019/10/24 15:42:38,11.00,40.00,1666.00,74,976
2019/10/24 15:42:38,11.00,40.00,1635.00,73,976
2019/10/24 15:42:39,11.00,40.00,1611.00,73,976
2019/10/24 15:42:40,11.00,40.00,1593.00,74,976
2019/10/24 15:42:40,11.00,40.00,1562.00,73,976
2019/10/24 15:42:41,11.00,40.00,1598.00,73,976
2019/10/24 15:42:42,11.00,40.00,1586.00,73,976
2019/10/24 15:42:42,11.00,40.00,1611.00,73,976
2019/10/24 15:42:43,11.00,40.00,1593.00,73,976
2019/10/24 15:42:44,11.00,40.00,1596.00,73,976
2019/10/24 15:42:44,11.00,40.00,1621.00,73,976
2019/10/24 15:42:45,11.00,40.00,1433.00,74,976
2019/10/24 15:42:46,11.00,40.00,1382.00,73,976
2019/10/24 15:42:46,11.00,40.00,1475.00,73,976
