date,temperature,humidity,light,soil,air
2019/10/25 9:43:5,6.00,41.00,89.00,77,956
2019/10/25 9:43:6,6.00,41.00,103.00,81,974
2019/10/25 9:43:6,6.00,41.00,116.00,87,974
2019/10/25 9:43:7,6.00,41.00,65.00,95,974
2019/10/25 9:43:8,6.00,41.00,99.00,102,973
2019/10/25 9:43:8,6.00,41.00,84.00,107,973
2019/10/25 9:43:9,6.00,41.00,107.00,113,973
2019/10/25 9:43:9,6.00,41.00,103.00,118,973
2019/10/25 9:43:10,6.00,41.00,107.00,125,973
2019/10/25 9:43:11,6.00,41.00,103.00,131,973
2019/10/25 9:43:11,6.00,41.00,107.00,138,973
2019/10/25 9:43:12,6.00,41.00,107.00,144,974
2019/10/25 9:43:13,6.00,41.00,93.00,148,974
2019/10/25 9:43:13,6.00,41.00,67.00,152,973
2019/10/25 9:43:14,6.00,41.00,67.00,154,972
2019/10/25 9:43:15,6.00,41.00,74.00,156,972
2019/10/25 9:43:15,7.00,40.00,84.00,157,973
2019/10/25 9:43:16,7.00,40.00,84.00,157,973
2019/10/25 9:43:17,7.00,40.00,95.00,155,973
2019/10/25 9:43:17,7.00,40.00,84.00,152,973
2019/10/25 9:43:18,6.00,41.00,74.00,149,972
2019/10/25 9:43:19,6.00,41.00,84.00,146,972
2019/10/25 9:43:19,6.00,41.00,95.00,144,972
2019/10/25 9:43:20,6.00,41.00,95.00,143,972
2019/10/25 9:43:20,7.00,40.00,139.00,142,972
2019/10/25 9:43:21,7.00,40.00,145.00,141,971
2019/10/25 9:43:22,7.00,40.00,135.00,139,971
2019/10/25 9:43:22,7.00,40.00,107.00,138,972
2019/10/25 9:43:23,7.00,40.00,101.00,136,971
2019/10/25 9:43:24,7.00,40.00,101.00,135,971
2019/10/25 9:43:24,7.00,40.00,101.00,133,972
2019/10/25 9:43:25,7.00,40.00,101.00,132,972
2019/10/25 9:43:26,7.00,40.00,101.00,130,972
2019/10/25 9:43:26,7.00,40.00,101.00,128,971
2019/10/25 9:43:27,7.00,40.00,112.00,127,971
2019/10/25 9:43:28,7.00,40.00,101.00,125,971
2019/10/25 9:43:28,6.00,41.00,91.00,123,971
2019/10/25 9:43:29,6.00,41.00,62.00,122,973
2019/10/25 9:43:30,6.00,41.00,135.00,120,972
2019/10/25 9:43:30,6.00,41.00,120.00,118,971
2019/10/25 9:43:31,6.00,41.00,110.00,117,972
2019/10/25 9:43:31,6.00,41.00,116.00,116,973
2019/10/25 9:43:32,6.00,41.00,54.00,114,972
2019/10/25 9:43:33,6.00,41.00,48.00,111,967
2019/10/25 9:43:33,6.00,41.00,57.00,107,963
2019/10/25 9:43:34,6.00,41.00,51.00,108,971
2019/10/25 9:43:35,6.00,41.00,61.00,106,971
2019/10/25 9:43:35,6.00,41.00,72.00,106,972
2019/10/25 9:43:36,6.00,41.00,72.00,105,972
2019/10/25 9:43:37,6.00,41.00,94.00,104,973
2019/10/25 9:43:37,6.00,41.00,94.00,102,973
2019/10/25 9:43:38,6.00,41.00,78.00,102,973
2019/10/25 9:43:39,6.00,41.00,88.00,101,973
2019/10/25 9:43:39,6.00,41.00,92.00,101,977
2019/10/25 9:43:40,6.00,41.00,75.00,98,969
2019/10/25 9:43:41,6.00,41.00,96.00,97,956
2019/10/25 9:43:41,6.00,41.00,88.00,96,970
2019/10/25 9:43:42,6.00,41.00,99.00,95,969
2019/10/25 9:43:42,6.00,41.00,88.00,94,971
2019/10/25 9:43:43,6.00,41.00,99.00,94,972
2019/10/25 9:43:44,6.00,41.00,79.00,93,972
2019/10/25 9:43:44,6.00,41.00,107.00,91,972
2019/10/25 9:43:45,6.00,41.00,96.00,92,973
2019/10/25 9:43:46,6.00,41.00,100.00,91,968
2019/10/25 9:43:46,6.00,41.00,79.00,90,969
2019/10/25 9:43:47,6.00,41.00,86.00,90,969
2019/10/25 9:43:48,6.00,41.00,86.00,89,970
2019/10/25 9:43:48,6.00,41.00,90.00,88,968
2019/10/25 9:43:49,6.00,41.00,90.00,87,960
2019/10/25 9:43:50,6.00,41.00,90.00,87,968
2019/10/25 9:43:50,6.00,41.00,79.00,87,967
2019/10/25 9:43:51,6.00,41.00,94.00,87,969
2019/10/25 9:43:51,6.00,41.00,90.00,87,970
2019/10/25 9:43:52,6.00,41.00,79.00,86,971
2019/10/25 9:43:53,6.00,41.00,100.00,86,968
2019/10/25 9:43:53,6.00,41.00,87.00,85,968
2019/10/25 9:43:54,6.00,41.00,83.00,84,969
2019/10/25 9:43:55,6.00,41.00,44.00,83,969
2019/10/25 9:43:55,6.00,41.00,33.00,83,968
2019/10/25 9:43:56,6.00,41.00,28.00,83,967
2019/10/25 9:43:57,7.00,40.00,28.00,83,969
2019/10/25 9:43:57,7.00,40.00,28.00,83,969
2019/10/25 9:43:58,7.00,40.00,28.00,83,969
2019/10/25 9:43:59,7.00,40.00,28.00,83,969
2019/10/25 9:43:59,6.00,41.00,28.00,84,969
2019/10/25 9:44:0,6.00,41.00,29.00,83,968
2019/10/25 9:44:1,6.00,41.00,28.00,83,968
2019/10/25 9:44:1,6.00,41.00,28.00,83,969
2019/10/25 9:44:2,6.00,41.00,28.00,83,969
2019/10/25 9:44:2,6.00,41.00,36.00,83,969
2019/10/25 9:44:3,6.00,41.00,33.00,82,969
2019/10/25 9:44:4,6.00,41.00,53.00,82,969
2019/10/25 9:44:4,7.00,40.00,53.00,82,969
2019/10/25 9:44:5,7.00,40.00,38.00,82,969
2019/10/25 9:44:6,7.00,40.00,53.00,82,969
2019/10/25 9:44:6,7.00,40.00,42.00,82,969
2019/10/25 9:44:7,7.00,40.00,42.00,81,969
2019/10/25 9:44:8,7.00,40.00,42.00,81,968
2019/10/25 9:44:8,7.00,40.00,42.00,81,968
2019/10/25 9:44:9,7.00,40.00,33.00,81,968
2019/10/25 9:44:10,6.00,41.00,33.00,81,968
2019/10/25 9:44:10,6.00,41.00,33.00,81,969
2019/10/25 9:44:11,6.00,41.00,33.00,81,969
2019/10/25 9:44:12,6.00,41.00,36.00,81,969
2019/10/25 9:44:12,7.00,40.00,46.00,81,969
2019/10/25 9:44:13,7.00,40.00,36.00,81,968
2019/10/25 9:44:13,7.00,40.00,36.00,81,968
2019/10/25 9:44:14,7.00,40.00,36.00,81,969
2019/10/25 9:44:15,6.00,41.00,33.00,81,968
2019/10/25 9:44:15,6.00,41.00,33.00,80,969
2019/10/25 9:44:16,6.00,41.00,33.00,80,968
2019/10/25 9:44:17,6.00,41.00,33.00,80,968
2019/10/25 9:44:17,6.00,41.00,42.00,80,969
2019/10/25 9:44:18,6.00,41.00,42.00,80,969
2019/10/25 9:44:19,6.00,41.00,33.00,80,969
2019/10/25 9:44:19,6.00,41.00,36.00,79,969
2019/10/25 9:44:20,7.00,40.00,33.00,79,969
2019/10/25 9:44:21,7.00,40.00,19.00,79,968
2019/10/25 9:44:21,7.00,40.00,13.00,78,968
2019/10/25 9:44:22,7.00,40.00,15.00,78,969
2019/10/25 9:44:22,6.00,41.00,13.00,78,964
2019/10/25 9:44:23,6.00,41.00,23.00,78,969
2019/10/25 9:44:24,6.00,41.00,23.00,78,968
2019/10/25 9:44:24,6.00,41.00,24.00,78,968
2019/10/25 9:44:25,6.00,41.00,23.00,78,968
2019/10/25 9:44:26,6.00,41.00,27.00,78,965
2019/10/25 9:44:26,6.00,41.00,27.00,79,967
2019/10/25 9:44:27,6.00,41.00,11.00,79,965
2019/10/25 9:44:28,6.00,41.00,44.00,79,969
2019/10/25 9:44:28,6.00,41.00,57.00,79,963
2019/10/25 9:44:29,6.00,41.00,62.00,78,964
2019/10/25 9:44:30,6.00,41.00,73.00,78,968
2019/10/25 9:44:30,6.00,41.00,77.00,78,964
2019/10/25 9:44:31,6.00,41.00,66.00,78,969
2019/10/25 9:44:31,6.00,41.00,60.00,78,967
2019/10/25 9:44:32,6.00,41.00,74.00,79,966
2019/10/25 9:44:33,6.00,41.00,47.00,78,966
2019/10/25 9:44:33,6.00,41.00,57.00,78,966
2019/10/25 9:44:34,6.00,41.00,42.00,78,967
2019/10/25 9:44:35,6.00,41.00,68.00,78,966
2019/10/25 9:44:35,7.00,40.00,74.00,78,966
2019/10/25 9:44:36,7.00,40.00,64.00,78,966
2019/10/25 9:44:37,7.00,40.00,74.00,78,966
2019/10/25 9:44:37,7.00,40.00,57.00,78,966
2019/10/25 9:44:38,7.00,40.00,73.00,79,966
2019/10/25 9:44:39,7.00,40.00,74.00,79,967
2019/10/25 9:44:39,7.00,40.00,103.00,78,967
2019/10/25 9:44:40,7.00,40.00,88.00,78,967
2019/10/25 9:44:41,7.00,40.00,137.00,78,967
2019/10/25 9:44:41,7.00,40.00,116.00,78,967
2019/10/25 9:44:42,7.00,40.00,133.00,78,966
2019/10/25 9:44:42,7.00,40.00,127.00,78,967
2019/10/25 9:44:43,7.00,40.00,120.00,78,967
2019/10/25 9:44:44,7.00,40.00,106.00,78,966
2019/10/25 9:44:44,7.00,40.00,114.00,78,966
2019/10/25 9:44:45,7.00,40.00,107.00,78,966
2019/10/25 9:44:46,7.00,40.00,107.00,78,966
2019/10/25 9:44:46,7.00,40.00,97.00,79,965
2019/10/25 9:44:47,7.00,40.00,97.00,78,965
2019/10/25 9:44:48,7.00,40.00,97.00,77,965
2019/10/25 9:44:48,7.00,40.00,101.00,77,965
2019/10/25 9:44:49,7.00,40.00,101.00,78,965
2019/10/25 9:44:50,7.00,40.00,93.00,78,965
2019/10/25 9:44:50,7.00,40.00,107.00,78,965
