date,temperature,humidity,light,soil,air
2019/10/25 19:3:25,19.00,35.00,0.00,70,966
2019/10/25 19:3:26,19.00,35.00,0.00,70,966
2019/10/25 19:3:27,19.00,35.00,0.00,70,966
2019/10/25 19:3:27,19.00,35.00,0.00,70,966
2019/10/25 19:3:28,19.00,35.00,0.00,71,966
2019/10/25 19:3:29,19.00,35.00,0.00,71,967
2019/10/25 19:3:29,19.00,35.00,0.00,71,966
2019/10/25 19:3:30,19.00,35.00,0.00,72,966
2019/10/25 19:3:31,19.00,35.00,0.00,72,966
2019/10/25 19:3:31,19.00,35.00,0.00,72,966
2019/10/25 19:3:32,19.00,35.00,0.00,72,967
2019/10/25 19:3:33,19.00,35.00,24.00,73,967
2019/10/25 19:3:33,19.00,34.00,24.00,73,967
2019/10/25 19:3:34,19.00,34.00,24.00,74,967
2019/10/25 19:3:34,19.00,34.00,24.00,74,967
2019/10/25 19:3:35,19.00,34.00,24.00,74,967
2019/10/25 19:3:36,19.00,35.00,24.00,74,967
2019/10/25 19:3:36,19.00,35.00,40.00,75,966
2019/10/25 19:3:37,19.00,35.00,24.00,75,966
2019/10/25 19:3:38,19.00,35.00,24.00,75,966
2019/10/25 19:3:38,19.00,35.00,24.00,76,966
2019/10/25 19:3:39,19.00,35.00,24.00,76,967
2019/10/25 19:3:40,19.00,35.00,0.00,76,967
2019/10/25 19:3:40,19.00,35.00,0.00,77,967
2019/10/25 19:3:41,19.00,35.00,24.00,77,967
2019/10/25 19:3:42,19.00,35.00,6.00,77,967
2019/10/25 19:3:42,19.00,35.00,24.00,77,967
2019/10/25 19:3:43,19.00,35.00,24.00,77,967
2019/10/25 19:3:44,19.00,35.00,24.00,77,967
2019/10/25 19:3:44,19.00,35.00,24.00,77,966
2019/10/25 19:3:45,19.00,35.00,24.00,77,966
2019/10/25 19:3:45,19.00,35.00,24.00,77,967
2019/10/25 19:3:46,19.00,35.00,24.00,77,967
2019/10/25 19:3:47,19.00,35.00,24.00,77,967
2019/10/25 19:3:47,19.00,35.00,24.00,77,967
2019/10/25 19:3:48,19.00,35.00,24.00,77,967
2019/10/25 19:3:49,19.00,35.00,0.00,77,967
2019/10/25 19:3:49,19.00,35.00,0.00,77,967
2019/10/25 19:3:50,19.00,35.00,24.00,77,967
2019/10/25 19:3:51,19.00,35.00,24.00,76,967
2019/10/25 19:3:51,20.00,35.00,0.00,77,967
2019/10/25 19:3:52,20.00,35.00,0.00,77,967
2019/10/25 19:3:53,20.00,35.00,0.00,77,967
2019/10/25 19:3:53,20.00,35.00,40.00,76,966
2019/10/25 19:3:54,19.00,35.00,126.00,77,966
2019/10/25 19:3:55,19.00,35.00,151.00,76,965
2019/10/25 19:3:55,19.00,35.00,141.00,76,965
2019/10/25 19:3:56,19.00,35.00,126.00,76,966
2019/10/25 19:3:56,19.00,35.00,40.00,76,966
2019/10/25 19:3:57,19.00,35.00,24.00,76,966
2019/10/25 19:3:58,19.00,35.00,24.00,76,966
2019/10/25 19:3:58,19.00,35.00,24.00,76,966
2019/10/25 19:3:59,20.00,35.00,0.00,76,966
2019/10/25 19:4:0,20.00,35.00,0.00,76,966
2019/10/25 19:4:0,20.00,35.00,6.00,75,966
2019/10/25 19:4:1,20.00,35.00,24.00,76,966
2019/10/25 19:4:2,19.00,35.00,0.00,76,966
2019/10/25 19:4:2,19.00,35.00,6.00,74,966
2019/10/25 19:4:3,19.00,35.00,0.00,73,966
2019/10/25 19:4:4,19.00,35.00,0.00,74,966
2019/10/25 19:4:4,20.00,35.00,6.00,74,966
2019/10/25 19:4:5,20.00,35.00,0.00,74,966
2019/10/25 19:4:6,20.00,35.00,0.00,74,966
2019/10/25 19:4:6,20.00,35.00,0.00,74,966
2019/10/25 19:4:7,20.00,35.00,0.00,74,966
2019/10/25 19:4:7,20.00,35.00,0.00,74,966
2019/10/25 19:4:8,20.00,35.00,0.00,74,966
2019/10/25 19:4:9,20.00,35.00,0.00,74,966
2019/10/25 19:4:9,20.00,35.00,0.00,74,966
2019/10/25 19:4:10,20.00,35.00,0.00,74,966
2019/10/25 19:4:11,20.00,35.00,0.00,74,966
2019/10/25 19:4:11,20.00,35.00,0.00,74,966
2019/10/25 19:4:12,20.00,35.00,0.00,74,966
2019/10/25 19:4:13,20.00,35.00,0.00,74,966
2019/10/25 19:4:13,20.00,35.00,0.00,74,966
2019/10/25 19:4:14,20.00,35.00,0.00,74,967
2019/10/25 19:4:15,20.00,35.00,0.00,74,967
2019/10/25 19:4:15,20.00,35.00,0.00,74,966
2019/10/25 19:4:16,20.00,35.00,0.00,74,967
2019/10/25 19:4:16,20.00,35.00,0.00,74,966
2019/10/25 19:4:17,20.00,35.00,24.00,73,966
2019/10/25 19:4:18,20.00,35.00,71.00,74,966
2019/10/25 19:4:18,20.00,35.00,86.00,74,966
2019/10/25 19:4:19,20.00,35.00,86.00,73,966
2019/10/25 19:4:20,20.00,35.00,71.00,73,967
2019/10/25 19:4:20,20.00,35.00,86.00,73,966
2019/10/25 19:4:21,20.00,35.00,71.00,73,966
2019/10/25 19:4:22,20.00,35.00,0.00,73,966
2019/10/25 19:4:22,20.00,35.00,0.00,73,966
2019/10/25 19:4:23,20.00,35.00,55.00,73,966
2019/10/25 19:4:24,20.00,35.00,40.00,73,966
2019/10/25 19:4:24,20.00,35.00,55.00,73,966
2019/10/25 19:4:25,20.00,35.00,55.00,73,966
2019/10/25 19:4:26,20.00,35.00,71.00,75,966
2019/10/25 19:4:26,20.00,35.00,86.00,75,967
2019/10/25 19:4:27,20.00,35.00,86.00,75,967
2019/10/25 19:4:27,20.00,35.00,86.00,75,967
2019/10/25 19:4:28,20.00,35.00,71.00,75,967
2019/10/25 19:4:29,20.00,35.00,71.00,75,967
2019/10/25 19:4:29,20.00,35.00,71.00,73,966
2019/10/25 19:4:30,20.00,34.00,101.00,71,967
2019/10/25 19:4:31,20.00,34.00,101.00,73,967
2019/10/25 19:4:31,20.00,34.00,86.00,71,967
2019/10/25 19:4:32,20.00,34.00,86.00,71,966
2019/10/25 19:4:33,20.00,35.00,86.00,71,966
2019/10/25 19:4:33,20.00,35.00,86.00,71,966
2019/10/25 19:4:34,20.00,35.00,101.00,71,967
2019/10/25 19:4:35,20.00,35.00,86.00,71,967
2019/10/25 19:4:35,20.00,35.00,101.00,71,967
2019/10/25 19:4:36,20.00,35.00,101.00,72,967
2019/10/25 19:4:37,20.00,35.00,101.00,72,966
2019/10/25 19:4:37,20.00,35.00,86.00,72,966
2019/10/25 19:4:38,20.00,35.00,101.00,72,966
2019/10/25 19:4:38,20.00,35.00,101.00,72,966
2019/10/25 19:4:39,20.00,35.00,86.00,72,967
2019/10/25 19:4:40,20.00,35.00,101.00,72,967
2019/10/25 19:4:40,20.00,35.00,86.00,72,967
2019/10/25 19:4:41,20.00,35.00,86.00,71,967
2019/10/25 19:4:42,20.00,35.00,86.00,71,966
2019/10/25 19:4:42,20.00,35.00,86.00,72,966
2019/10/25 19:4:43,20.00,35.00,86.00,72,966
2019/10/25 19:4:44,20.00,35.00,86.00,72,966
2019/10/25 19:4:44,20.00,35.00,86.00,72,966
2019/10/25 19:4:45,20.00,35.00,86.00,74,966
2019/10/25 19:4:46,20.00,35.00,86.00,75,967
2019/10/25 19:4:46,20.00,35.00,86.00,75,967
2019/10/25 19:4:47,20.00,35.00,55.00,75,967
2019/10/25 19:4:48,20.00,35.00,55.00,75,967
2019/10/25 19:4:48,20.00,35.00,0.00,75,967
2019/10/25 19:4:49,20.00,35.00,0.00,75,967
2019/10/25 19:4:49,20.00,35.00,0.00,75,967
2019/10/25 19:4:50,20.00,35.00,0.00,75,967
2019/10/25 19:4:51,20.00,35.00,0.00,74,967
2019/10/25 19:4:51,20.00,35.00,0.00,74,967
2019/10/25 19:4:52,20.00,35.00,0.00,74,967
2019/10/25 19:4:53,20.00,35.00,0.00,74,966
2019/10/25 19:4:53,20.00,35.00,0.00,74,967
2019/10/25 19:4:54,20.00,35.00,0.00,74,967
2019/10/25 19:4:55,20.00,35.00,0.00,74,967
2019/10/25 19:4:55,20.00,35.00,0.00,74,967
2019/10/25 19:4:56,20.00,35.00,0.00,74,967
2019/10/25 19:4:57,20.00,35.00,0.00,74,967
2019/10/25 19:4:57,20.00,35.00,0.00,74,967
2019/10/25 19:4:58,20.00,35.00,0.00,74,967
2019/10/25 19:4:58,20.00,35.00,0.00,74,966
2019/10/25 19:4:59,20.00,35.00,0.00,74,967
2019/10/25 19:5:0,20.00,35.00,0.00,74,966
2019/10/25 19:5:0,20.00,35.00,0.00,74,966
2019/10/25 19:5:1,20.00,35.00,0.00,74,967
2019/10/25 19:5:2,20.00,35.00,0.00,74,966
2019/10/25 19:5:2,20.00,35.00,0.00,75,966
2019/10/25 19:5:3,20.00,35.00,0.00,75,966
2019/10/25 19:5:4,20.00,34.00,0.00,75,966
2019/10/25 19:5:4,20.00,34.00,55.00,75,967
2019/10/25 19:5:5,20.00,34.00,0.00,75,966
2019/10/25 19:5:6,20.00,34.00,0.00,75,966
2019/10/25 19:5:6,20.00,35.00,0.00,74,967
2019/10/25 19:5:7,20.00,35.00,0.00,76,966
2019/10/25 19:5:8,20.00,35.00,0.00,74,967
2019/10/25 19:5:8,20.00,35.00,0.00,74,967
2019/10/25 19:5:9,20.00,34.00,0.00,74,967
2019/10/25 19:5:9,20.00,34.00,0.00,74,966
2019/10/25 19:5:10,20.00,34.00,0.00,74,967
2019/10/25 19:5:11,20.00,34.00,0.00,74,966
2019/10/25 19:5:11,20.00,35.00,0.00,74,966
2019/10/25 19:5:12,20.00,35.00,0.00,74,967
2019/10/25 19:5:13,20.00,35.00,0.00,74,967
2019/10/25 19:5:13,20.00,35.00,0.00,74,966
2019/10/25 19:5:14,20.00,35.00,0.00,74,966
2019/10/25 19:5:15,20.00,35.00,0.00,74,966
2019/10/25 19:5:15,20.00,35.00,0.00,74,966
2019/10/25 19:5:16,20.00,35.00,0.00,75,966
2019/10/25 19:5:17,20.00,35.00,0.00,74,967
2019/10/25 19:5:17,20.00,35.00,24.00,74,967
2019/10/25 19:5:18,20.00,35.00,24.00,74,967
2019/10/25 19:5:18,20.00,35.00,0.00,74,966
2019/10/25 19:5:19,19.00,35.00,0.00,74,967
2019/10/25 19:5:20,19.00,35.00,0.00,74,967
2019/10/25 19:5:20,19.00,35.00,0.00,74,967
2019/10/25 19:5:21,19.00,35.00,0.00,74,966
2019/10/25 19:5:22,19.00,35.00,0.00,74,966
2019/10/25 19:5:22,19.00,35.00,0.00,74,966
2019/10/25 19:5:23,19.00,35.00,24.00,75,966
2019/10/25 19:5:24,19.00,35.00,55.00,75,967
2019/10/25 19:5:24,19.00,35.00,55.00,74,968
2019/10/25 19:5:25,19.00,35.00,55.00,75,967
2019/10/25 19:5:26,19.00,35.00,40.00,74,967
2019/10/25 19:5:26,19.00,35.00,40.00,74,967
2019/10/25 19:5:27,19.00,35.00,55.00,73,967
2019/10/25 19:5:28,19.00,35.00,55.00,72,967
2019/10/25 19:5:28,19.00,35.00,55.00,73,968
2019/10/25 19:5:29,19.00,35.00,71.00,73,968
2019/10/25 19:5:29,20.00,35.00,55.00,73,968
2019/10/25 19:5:30,20.00,35.00,55.00,73,968
2019/10/25 19:5:31,20.00,35.00,55.00,73,968
2019/10/25 19:5:31,20.00,35.00,55.00,73,967
2019/10/25 19:5:32,19.00,35.00,55.00,73,967
2019/10/25 19:5:33,19.00,35.00,55.00,73,968
2019/10/25 19:5:33,19.00,35.00,71.00,73,968
2019/10/25 19:5:34,19.00,35.00,71.00,73,968
2019/10/25 19:5:35,20.00,35.00,86.00,73,968
2019/10/25 19:5:35,20.00,35.00,86.00,73,968
2019/10/25 19:5:36,20.00,35.00,101.00,73,968
2019/10/25 19:5:37,20.00,35.00,86.00,73,968
2019/10/25 19:5:37,19.00,35.00,71.00,73,968
2019/10/25 19:5:38,19.00,35.00,86.00,73,968
2019/10/25 19:5:39,19.00,35.00,86.00,73,967
2019/10/25 19:5:39,19.00,35.00,101.00,73,967
2019/10/25 19:5:40,20.00,35.00,86.00,73,968
2019/10/25 19:5:41,20.00,35.00,101.00,73,968
2019/10/25 19:5:41,20.00,35.00,115.00,73,968
2019/10/25 19:5:42,20.00,35.00,101.00,73,968
2019/10/25 19:5:42,20.00,35.00,101.00,73,968
2019/10/25 19:5:43,20.00,35.00,71.00,73,967
2019/10/25 19:5:44,20.00,35.00,71.00,73,968
2019/10/25 19:5:44,20.00,35.00,71.00,73,967
2019/10/25 19:5:45,19.00,35.00,55.00,73,968
2019/10/25 19:5:46,19.00,35.00,55.00,73,968
2019/10/25 19:5:46,19.00,35.00,71.00,73,968
2019/10/25 19:5:47,19.00,35.00,71.00,72,968
2019/10/25 19:5:48,20.00,35.00,55.00,75,968
2019/10/25 19:5:48,20.00,35.00,55.00,74,968
2019/10/25 19:5:49,20.00,35.00,0.00,74,968
2019/10/25 19:5:50,20.00,35.00,0.00,75,968
2019/10/25 19:5:50,20.00,35.00,0.00,75,968
