date,temperature,humidity,light,soil,air
2019/10/30 14:6:3,13.00,37.00,1653.00,94,967
2019/10/30 14:6:4,13.00,37.00,3463.00,101,969
2019/10/30 14:6:4,13.00,37.00,2600.00,110,968
2019/10/30 14:6:5,13.00,37.00,1190.00,122,967
2019/10/30 14:6:6,13.00,38.00,1694.00,135,968
2019/10/30 14:6:6,13.00,38.00,3334.00,145,966
2019/10/30 14:6:7,13.00,38.00,3453.00,156,966
2019/10/30 14:6:7,13.00,38.00,1574.00,163,966
2019/10/30 14:6:8,13.00,37.00,715.00,177,967
2019/10/30 14:6:9,13.00,37.00,494.00,181,966
2019/10/30 14:6:9,13.00,37.00,371.00,189,965
2019/10/30 14:6:10,13.00,37.00,273.00,196,966
2019/10/30 14:6:11,12.00,38.00,333.00,203,966
2019/10/30 14:6:11,12.00,38.00,207.00,205,967
2019/10/30 14:6:12,12.00,38.00,212.00,320,966
2019/10/30 14:6:13,12.00,38.00,513.00,245,965
2019/10/30 14:6:13,12.00,38.00,516.00,230,965
2019/10/30 14:6:14,12.00,38.00,832.00,221,966
2019/10/30 14:6:15,12.00,38.00,678.00,213,965
2019/10/30 14:6:15,12.00,38.00,556.00,177,965
2019/10/30 14:6:16,12.00,38.00,1141.00,171,965
2019/10/30 14:6:17,12.00,38.00,1719.00,167,965
2019/10/30 14:6:17,12.00,38.00,2032.00,164,965
2019/10/30 14:6:18,12.00,38.00,2061.00,159,964
2019/10/30 14:6:19,12.00,38.00,1071.00,157,966
2019/10/30 14:6:19,12.00,38.00,1015.00,154,966
2019/10/30 14:6:20,12.00,38.00,1128.00,149,965
2019/10/30 14:6:21,12.00,38.00,1729.00,157,966
2019/10/30 14:6:21,12.00,38.00,1332.00,145,964
2019/10/30 14:6:22,12.00,38.00,1219.00,148,965
2019/10/30 14:6:22,12.00,38.00,4303.00,147,965
2019/10/30 14:6:23,12.00,38.00,1621.00,148,965
2019/10/30 14:6:24,12.00,38.00,1822.00,154,965
2019/10/30 14:6:24,12.00,38.00,1621.00,144,965
2019/10/30 14:6:25,12.00,38.00,1836.00,137,964
2019/10/30 14:6:26,12.00,38.00,3502.00,135,965
2019/10/30 14:6:26,12.00,38.00,3595.00,133,965
2019/10/30 14:6:27,12.00,38.00,2223.00,133,964
2019/10/30 14:6:28,12.00,38.00,2720.00,133,965
2019/10/30 14:6:28,12.00,38.00,1979.00,132,965
